"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"
"08/07/2015"	"07:56:51"	"-29.345865"	"00.916797"	"4"	"0.0"	""	"4"	"3.4"	"181"	"2005"
"08/07/2015"	"07:56:52"	"-29.345865"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2015"
"08/07/2015"	"07:56:54"	"-29.345870"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2043"
"08/07/2015"	"07:56:55"	"-29.345868"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2053"
"08/07/2015"	"07:56:56"	"-29.345868"	"00.916795"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2063"
"08/07/2015"	"07:56:57"	"-29.345868"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2073"
"08/07/2015"	"07:56:58"	"-29.345870"	"00.916795"	"4"	"0.0"	""	"4"	"3.4"	"180"	"2083"
"08/07/2015"	"07:57:00"	"-29.345872"	"00.916797"	"2"	"0.0"	""	"4"	"3.4"	"194"	"2099"
"08/07/2015"	"07:57:01"	"-29.345872"	"00.916797"	"2"	"0.0"	""	"4"	"3.4"	"182"	"2110"
"08/07/2015"	"07:57:03"	"-29.345870"	"00.916798"	"2"	"0.0"	""	"4"	"3.4"	"180"	"2126"
"08/07/2015"	"07:57:04"	"-29.345870"	"00.916800"	"4"	"0.0"	""	"4"	"3.4"	"181"	"2136"
"08/07/2015"	"07:57:06"	"-29.345868"	"00.916798"	"2"	"0.0"	""	"4"	"3.4"	"181"	"2152"
"08/07/2015"	"07:57:07"	"-29.345868"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"182"	"2174"
"08/07/2015"	"07:57:08"	"-29.345868"	"00.916798"	"2"	"0.0"	""	"4"	"3.4"	"181"	"2184"
"08/07/2015"	"07:57:09"	"-29.345872"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"180"	"2194"
"08/07/2015"	"07:57:10"	"-29.345872"	"00.916800"	"2"	"0.0"	""	"4"	"3.4"	"180"	"2204"
"08/07/2015"	"07:57:11"	"-29.345870"	"00.916798"	"2"	"0.0"	""	"4"	"3.4"	"184"	"2214"
"08/07/2015"	"07:57:13"	"-29.345870"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"172"	"2230"
"08/07/2015"	"07:57:14"	"-29.345872"	"00.916793"	"4"	"0.0"	""	"4"	"3.4"	"173"	"2240"
"08/07/2015"	"07:57:17"	"-29.345868"	"00.916797"	"4"	"0.0"	""	"4"	"3.4"	"181"	"2262"
"08/07/2015"	"07:57:18"	"-29.345865"	"00.916795"	"4"	"0.0"	""	"4"	"3.4"	"181"	"2272"
